pathwayName,pathwayId,pathwaySource,Pval,Num_In_Path,Total_In_Path,Pval_FDR,Pval_Holm,analytes,,,,,
Assembly of active LPL and LIPC lipase complexes,R-HSA-8963889,reactome,0.947415607,2,6,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
Plasma lipoprotein assembly,R-HSA-8963898,reactome,0.972155993,2,11,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Plasma lipoprotein remodeling,R-HSA-8963899,reactome,0.99178335,3,15,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0);CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
LDL clearance,R-HSA-8964038,reactome,0.957337338,2,9,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Plasma lipoprotein clearance,R-HSA-8964043,reactome,0.99863036,2,9,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
HDL remodeling,R-HSA-8964058,reactome,0.635775967,3,12,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0);CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Intracellular signaling by second messengers,R-HSA-9006925,reactome,0.999568557,2,27,1,1,"13-HODE; Coriolic acid;DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
Negative regulation of NMDA receptor-mediated neuronal transmission,R-HSA-9617324,reactome,0.938980717,3,6,1,1,Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
LTC4-CYSLTR mediated IL4 production,R-HSA-9664535,reactome,0.589589731,2,7,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Nervous system development,R-HSA-9675108,reactome,0.938980717,3,20,1,1,"Glycine;Glutamate; L-Glutamic acid;DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
Amino acid transport across the plasma membrane,R-HSA-352230,reactome,0.839471488,11,32,1,1,Glycine;Glutamate; L-Glutamic acid;L-Tyrosine;L-Proline;L-Asparagine;Histidine; L-Histidine;L-Serine; Serine;L-Cystine;Ornithine;Homo-L-arginine; homoArg;4-Hydroxyproline; hydroxy-proline,,,,,
Miscellaneous transport and binding events,R-HSA-5223345,reactome,0.988506747,2,11,1,1,Histidine; L-Histidine;L-Cystine,,,,,
"Transport of vitamins, nucleosides, and related molecules",R-HSA-425397,reactome,0.99989868,4,62,1,1,"Pantothenic acid;Chenodeoxycholic acid glycine conjugate; GCDCA;Tauroursodeoxycholic acid;2-[(3a,7a-dihydroxy-24-oxo-5beta-cholan-24-yl)amino]ethanesulfonate; Taurochenodesoxycholic acid; TCDCA;Dehydroepiandrosterone sulfate; DHEA-SO4; ST 19:1;O2;S",,,,,
Transport of organic anions,R-HSA-879518,reactome,0.682798551,3,16,1,1,"Chenodeoxycholic acid glycine conjugate; GCDCA;Tauroursodeoxycholic acid;2-[(3a,7a-dihydroxy-24-oxo-5beta-cholan-24-yl)amino]ethanesulfonate; Taurochenodesoxycholic acid; TCDCA;Dehydroepiandrosterone sulfate; DHEA-SO4; ST 19:1;O2;S",,,,,
Heme signaling,R-HSA-9707616,reactome,0.999988339,2,18,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Chylomicron remodeling,R-HSA-8963901,reactome,0.635775967,3,7,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0);CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Cell surface interactions at the vascular wall,R-HSA-202733,reactome,1,2,13,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Scavenging by Class F Receptors,R-HSA-3000484,reactome,0.589589731,2,9,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Platelet sensitization by LDL,R-HSA-432142,reactome,0.965486385,2,6,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Regulation of TLR by endogenous ligand,R-HSA-5686938,reactome,0.957337338,2,16,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Cargo recognition for clathrin-mediated endocytosis,R-HSA-8856825,reactome,1,2,10,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Post NMDA receptor activation events,R-HSA-438064,reactome,0.999999845,3,13,1,1,Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
"Unblocking of NMDA receptors, glutamate binding and activation",R-HSA-438066,reactome,0.912308976,3,7,1,1,Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,R-HSA-442742,reactome,0.987440141,3,10,1,1,Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
Ras activation upon Ca2+ influx through NMDA receptor,R-HSA-442982,reactome,0.938980717,3,6,1,1,Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
Long-term potentiation,R-HSA-9620244,reactome,0.949365755,3,6,1,1,Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
Na+/Cl- dependent neurotransmitter transporters,R-HSA-442660,reactome,0.877271159,7,32,1,1,Glycine;L-Tyrosine;L-Proline;L-Asparagine;Histidine; L-Histidine;L-Serine; Serine;4-Hydroxyproline; hydroxy-proline,,,,,
Variant SLC6A14 may confer susceptibility towards obesity,R-HSA-5619094,reactome,0.635775967,3,15,1,1,Glycine;Histidine; L-Histidine;L-Serine; Serine,,,,,
Amino acid metabolism pathway excerpt: histidine catabolism extension,WP4661,wiki,0.903348799,2,17,1,1,Glutamate; L-Glutamic acid;Histidine; L-Histidine,,,,,
Cysteine and methionine catabolism,WP4504,wiki,0.923780515,4,39,1,1,Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine;L-Cystine,,,,,
Methionine de novo and salvage pathway,WP3580,wiki,0.99824997,2,49,1,1,Glutamate; L-Glutamic acid;Ornithine,,,,,
Extra-nuclear estrogen signaling,WP4977,wiki,0.999999982,2,27,1,1,Citrulline;ADMA; Symmetric dimethylarginine,,,,,
Metabolism of water-soluble vitamins and cofactors,WP1857,wiki,0.999999997,2,82,1,1,Pantothenic acid;Thiamine; THMN,,,,,
Vitamin B6-dependent and responsive disorders,WP4228,wiki,0.827896813,2,20,1,1,Glutamate; L-Glutamic acid;L-Proline,,,,,
Serine metabolism,WP4688,wiki,0.725323324,3,25,1,1,Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
Aflatoxin activation and detoxification,WP3306,wiki,0.957337338,2,28,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Clathrin-mediated endocytosis,WP4065,wiki,1,2,15,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Sulfur amino acid metabolism,WP3574,wiki,0.999496786,2,69,1,1,Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
Amino acid metabolism in triple-negative breast cancer cells,WP5213,wiki,0.725323324,3,19,1,1,Glutamate; L-Glutamic acid;L-Serine; Serine;L-Cystine,,,,,
Purine metabolism and related disorders,WP4224,wiki,0.997161119,2,58,1,1,Glutamate; L-Glutamic acid;Uric acid,,,,,
Anti-inflammatory response favouring Leishmania parasite infection,WP4993,wiki,1,3,35,1,1,"Glycine;Glutamate; L-Glutamic acid;DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
RAF/MAP kinase cascade,WP2735,wiki,0.98101357,3,15,1,1,Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
EPH-Ephrin signaling,WP3309,wiki,1,2,9,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Miscellaneous transport and binding events,WP3320,wiki,0.985607415,2,10,1,1,Histidine; L-Histidine;L-Cystine,,,,,
Kennedy pathway from sphingolipids,WP3933,wiki,0.935380604,2,20,1,1,"L-Serine; Serine;DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
Serine biosynthesis,WP4435,wiki,0.827896813,2,16,1,1,Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
Lipid metabolism pathway,WP3965,wiki,0.997161119,2,13,1,1,"TG(16:0/16:0/16:1(9Z));TG(16:0/16:0/18:1(9Z));TG(16:0/16:0/18:2(9Z,12Z));TG(16:0/18:0/18:1(9Z));TG(16:0/18:0/18:2(9Z,12Z));TG(16:0/16:1(9Z)/18:1(9Z));TG(16:0/18:1(9Z)/18:2(9Z,12Z));TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/16:1(9Z)/18:1(9Z));TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z));TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z));TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z));DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
16p11.2 proximal deletion syndrome,WP4949,wiki,0.999999974,2,40,1,1,"DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0);1-hexadecanoyl-sn-glycero-3-phosphocholine; LPC(14:1); LysoPC(16:0/0:0);LPC(14:1); LysoPC(16:1(9Z)/0:0);LPC(14:1); LysoPC(18:3(6Z,9Z,12Z)/0:0);LPC(14:1); LysoPC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0);LPC(14:1); LysoPC(24:0/0:0)",,,,,
Vitamin D-sensitive calcium signaling in depression,WP4698,wiki,0.995434544,2,15,1,1,"Glutamate; L-Glutamic acid;DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",,,,,
Ferroptosis,WP4313,wiki,0.999998209,3,40,1,1,Glutamate; L-Glutamic acid;L-Cystine;LPE(18:0); LysoPE; LysoPE(18:0/0:0),,,,,
Metabolic reprogramming in pancreatic cancer,WP5220,wiki,0.999919419,2,31,1,1,"Glutamate; L-Glutamic acid;CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
