"Pathway, Gene Set, or Metabolite Class",Matching Analyte/Pathway
Translation,translational pathways
Carboxyterminal post-translational modifications of tubulin,translational pathways
Translation of Structural Proteins,translational pathways
Post-translational modification: synthesis of GPI-anchored proteins,translational pathways
Regulation of PTEN mRNA translation,translational pathways
Regulation of NPAS4 mRNA translation,translational pathways
Competing endogenous RNAs (ceRNAs) regulate PTEN translation,translational pathways
nsp1 from SARS-CoV-2 inhibits translation initiation in the host cell,translational pathways
Thymic stromal lymphopoietin (TSLP) signaling pathway,TSLP
activation of transmembrane receptor protein tyrosine kinase activity,tyrosine
tyrosine metabolic process,tyrosine
negative regulation of tyrosine phosphorylation of STAT protein,tyrosine
peptidyl-tyrosine phosphorylation,tyrosine
peptidyl-tyrosine modification,tyrosine
negative regulation of peptidyl-tyrosine phosphorylation,tyrosine
positive regulation of protein tyrosine kinase activity,tyrosine
positive regulation of peptidyl-tyrosine phosphorylation,tyrosine
regulation of peptidyl-tyrosine phosphorylation,tyrosine
regulation of tyrosine phosphorylation of STAT protein,tyrosine
tyrosine phosphorylation of STAT protein,tyrosine
regulation of protein tyrosine kinase activity,tyrosine
positive regulation of tyrosine phosphorylation of STAT protein,tyrosine
peptidyl-tyrosine autophosphorylation,tyrosine
peptidyl-tyrosine dephosphorylation,tyrosine
negative regulation of protein tyrosine kinase activity,tyrosine
collagen-activated tyrosine kinase receptor signaling pathway,tyrosine
EGFR tyrosine kinase inhibitor resistance,tyrosine
Phenylalanine and Tyrosine Metabolism,tyrosine
Tyrosine metabolism,tyrosine
Signaling by Receptor Tyrosine Kinases,tyrosine
"Phenylalanine, tyrosine and tryptophan biosynthesis",tyrosine
Tyrosine catabolism,tyrosine
Phenylalanine and tyrosine metabolism,tyrosine
Receptor-type tyrosine-protein phosphatases,tyrosine
Tyrosine metabolism and related disorders,tyrosine
Metabolism of xenobiotics by cytochrome P450,Xenobiotics
Xenobiotics,Xenobiotics
ZBP1(DAI) mediated induction of type I IFNs,ZBP1
RIP-mediated NFkB activation via ZBP1,ZBP1
