Ingenuity_Canonical_Pathways,_-log(p-value),Ratio,z-score,Molecules
Inhibition_of_Angiogenesis_by_TSP1,7.80E-01,8.82E-02,NaN,"CD47,JUN,MAPK12"
Androgen_Signaling,7.80E-01,5.92E-02,-2,"CACNA2D4,CACNB2,CATSPER3,DNAJB1,GNA14,GNB3,ITPR1,JUN,PRKCD,TAF10"
G_Beta_Gamma_Signaling,7.74E-01,6.20E-02,-1.633,"CACNA2D4,CACNB2,CATSPER3,GNA14,GNB3,ITPR1,PAK1,PRKCD"
IL-6_Signaling,7.74E-01,6.20E-02,-0.707,"IL1RAPL2,IL1RL2,IL36B,JUN,MAPK12,PIK3CD,SOCS3,TAB1"
Growth_Hormone_Signaling,7.64E-01,7.04E-02,-1,"PIK3CD,PRKCD,RPS6KA3,SLC2A4,SOCS3"
Glioblastoma_Multiforme_Signaling,7.57E-01,5.85E-02,-2.828,"CCND3,FZD3,FZD7,ITPR1,PDGFB,PIK3CD,PRKCD,RHOBTB2,WNT2,WNT2B"
Oxytocin_in_Spinal_Neurons_Signaling_Pathway,7.53E-01,8.57E-02,NaN,"AVPR1A,PRKG1,TRPV1"
fMLP_Signaling_in_Neutrophils,7.48E-01,6.11E-02,-1.633,"FPR1,GNA14,GNB3,ITPR1,NFATC2,PIK3CD,PPP3R2,PRKCD"
Sertoli_Cell_Germ_Cell_Junction_Signaling_Pathway_(Enhanced),7.34E-01,5.51E-02,-1.387,"CLDN15,FOSL1,FOSL2,ICAM1,IL1RAPL2,IL1RL2,JUN,LAMA2,MAPK12,PIK3CD,PRKG1,TAB1,TGFB2"
NRF2-mediated_Oxidative_Stress_Response,7.25E-01,5.49E-02,-1,"CYP2S1,CYP3A4,CYP3A43,DNAJA4,DNAJB1,DNAJC16,FOSL1,GSTM2,JUN,JUNB,MGST1,PIK3CD,PRKCD"
Acetate_Conversion_to_Acetyl-CoA,7.19E-01,2.00E-01,NaN,ACSL1
CCR3_Signaling_in_Eosinophils,7.12E-01,5.97E-02,-1.342,"GNA14,GNB3,ITPR1,MAPK12,PAK1,PIK3CD,PLA2G2A,PRKCD"
Fcγ_Receptor-mediated_Phagocytosis_in_Macrophages_and_Monocytes,7.08E-01,6.38E-02,-2.449,"LCP2,LYN,NCK2,PAK1,PRKCD,TLN2"
Necroptosis_Signaling_Pathway,7.07E-01,5.81E-02,-2.333,"BIRC3,CAPN1,CAPN5,GLUL,JAK1,PLA2G2A,PPP3R2,TAB1,TOMM40L"
Erythropoietin_Signaling_Pathway,7.05E-01,5.68E-02,-1.265,"BIRC3,IL12A,IL36B,IRS2,ITPR1,JUN,PIK3CD,PRKCD,TGFB2,TNFSF13"
Valine_Degradation_I,6.97E-01,1.00E-01,NaN,"BCAT1,SDS"
Role_of_Pattern_Recognition_Receptors_in_Recognition_of_Bacteria_and_Viruses,6.96E-01,5.77E-02,-1,"C3AR1,IL12A,IL36B,MAPK12,PIK3CD,PRKCD,TGFB2,TLR2,TNFSF13"
RHOGDI_Signaling,6.88E-01,5.45E-02,2.236,"ARHGEF3,CDH18,GNA14,GNB3,GRIP1,ITGA5,ITGA9,ITGB7,MSN,MYH3,PAK1,RHOBTB2"
Adrenomedullin_signaling_pathway,6.86E-01,5.53E-02,-1.508,"ADCY9,BCL2,GNA14,IL36B,ITPR1,KCNQ3,MAPK12,MAPK4,PIK3CD,PRKG1,TFAP2E"
GDNF_Family_Ligand-Receptor_Interactions,6.82E-01,6.58E-02,-1,"IRS2,ITPR1,JUN,MAPK12,PIK3CD"
Docosahexaenoic_Acid_(DHA)_Signaling,6.81E-01,7.89E-02,NaN,"BCL2,PIK3CD,SERPINF1"
Iron_homeostasis_signaling_pathway,6.77E-01,5.84E-02,NaN,"ATP6V1B2,CP,HEPH,HPX,JAK1,JAK3,PDGFB,SLC39A14"
Ovarian_Cancer_Signaling,6.75E-01,5.70E-02,NaN,"BCL2,FZD3,FZD7,HDAC10,PIK3CD,PROK1,PTGS1,WNT2,WNT2B"
Role_of_IL-17A_in_Arthritis,6.75E-01,7.02E-02,NaN,"CXCL6,IL17RA,MAPK12,PIK3CD"
TREM1_Signaling,6.67E-01,6.49E-02,-2.236,"CD83,ICAM1,ITGA5,NLRP6,TLR2"
Airway_Pathology_in_Chronic_Obstructive_Pulmonary_Disease,6.59E-01,5.93E-02,NaN,"FGF13,FGF17,FGF5,IL12A,IL36B,TGFB2,TNFSF13"
Adipogenesis_pathway,6.55E-01,5.76E-02,0.707,"ATG5,ATG7,FGFR4,FZD3,FZD7,HDAC10,KAT2A,SLC2A4"
p53_Signaling,6.53E-01,6.12E-02,0.816,"BCL2,GML,JUN,PIDD1,PIK3CD,PLAGL1"
Role_of_WNT/GSK-3β_Signaling_in_the_Pathogenesis_of_Influenza,6.52E-01,6.41E-02,-2,"CSNK1E,FZD3,FZD7,WNT2,WNT2B"
Chondroitin_and_Dermatan_Biosynthesis,6.48E-01,1.67E-01,NaN,CHPF2
Glycine_Cleavage_Complex,6.48E-01,1.67E-01,NaN,GCSH
Selenocysteine_Biosynthesis_II_(Archaea_and_Eukaryotes),6.48E-01,1.67E-01,NaN,SEPHS2
Insulin_Receptor_Signaling,6.44E-01,5.71E-02,0.378,"ASIC3,INPP5J,IRS2,JAK1,OCRL,PIK3CD,SLC2A4,SOCS3"
Renal_Cell_Carcinoma_Signaling,6.37E-01,6.33E-02,-2,"HGF,JUN,PAK1,PDGFB,PIK3CD"
Pregnenolone_Biosynthesis,6.35E-01,9.09E-02,NaN,"CYP26B1,CYP4F11"
Inhibition_of_ARE-Mediated_mRNA_Degradation_Pathway,6.25E-01,5.52E-02,-1.414,"EXOSC7,EXOSC8,MAPK12,MAPK4,PAPOLB,PSMD1,TNFSF13,YWHAH,ZFP36"
Renin-Angiotensin_Signaling,6.24E-01,5.79E-02,-1.633,"ADCY9,ITPR1,JUN,MAPK12,PAK1,PIK3CD,PRKCD"
Xenobiotic_Metabolism_Signaling,6.16E-01,5.10E-02,NaN,"ABCC3,CHST2,CHST4,CYP3A4,GRIP1,GSTM2,HS3ST3B1,HS3ST4,HS6ST1,HS6ST3,MAPK12,MGST1,PIK3CD,PRKCD,UGT2A1"
Transcriptional_Regulatory_Network_in_Embryonic_Stem_Cells,6.15E-01,5.49E-02,-2.333,"FGFR4,FZD3,FZD7,JAK1,JAK3,PIK3CD,TGFB2,WNT2,WNT2B"
Neuropathic_Pain_Signaling_in_Dorsal_Horn_Neurons,6.15E-01,5.94E-02,-2.449,"GRIA1,GRIN3A,ITPR1,KCNQ3,PIK3CD,PRKCD"
Dopamine-DARPP32_Feedback_in_cAMP_Signaling,6.10E-01,5.38E-02,-1.89,"ADCY9,CACNA2D4,CACNB2,CREB3L1,CSNK1E,GRIN3A,ITPR1,PPP3R2,PRKCD,PRKG1"
Histidine_Degradation_VI,6.07E-01,8.70E-02,NaN,"CYP26B1,CYP4F11"
Apelin_Cardiac_Fibroblast_Signaling_Pathway,6.07E-01,8.70E-02,NaN,"SERPINE1,TGFB2"
Role_of_NANOG_in_Mammalian_Embryonic_Stem_Cell_Pluripotency,5.91E-01,5.65E-02,NaN,"FZD3,FZD7,JAK1,JAK3,PIK3CD,WNT2,WNT2B"
Adenine_and_Adenosine_Salvage_III,5.90E-01,1.43E-01,NaN,HPRT1
Ceramide_Degradation,5.90E-01,1.43E-01,NaN,NAAA
Glycogen_Biosynthesis_II_(from_UDP-D-Glucose),5.90E-01,1.43E-01,NaN,UGP2
NOD1/2_Signaling_Pathway,5.83E-01,5.29E-02,-1.897,"ATG16L1,BIRC3,IL12A,IL36B,JUN,MAPK12,SLC15A4,TGFB2,TLR2,TNFSF13"
B_Cell_Activating_Factor_Signaling,5.78E-01,6.98E-02,NaN,"JUN,MAPK12,NFATC2"
Oncostatin_M_Signaling,5.78E-01,6.98E-02,NaN,"CHI3L1,JAK1,JAK3"
Thrombopoietin_Signaling,5.76E-01,6.35E-02,-2,"IRS2,JUN,PIK3CD,PRKCD"
Mitochondrial_Dysfunction,5.71E-01,4.93E-02,-0.5,"ATP12A,ATP1A1,BCL2,CACNA2D4,CACNB2,CAPN1,CAPN5,CATSPER3,CREB3L1,GSTM2,ITPR1,MAPK12,MGST1,NDUFV1,PIK3CD,PPP3R2,UQCRHL"
IGF-1_Signaling,5.68E-01,5.71E-02,-1.342,"IRS2,JAK1,JUN,PIK3CD,SOCS3,YWHAH"
MIF_Regulation_of_Innate_Immunity,5.60E-01,6.82E-02,NaN,"JUN,MAPK12,PLA2G2A"
Endocannabinoid_Developing_Neuron_Pathway,5.59E-01,5.51E-02,0,"ADCY9,CNR1,CREB3L1,GNB3,MAPK12,MAPK4,PIK3CD"
LPS-stimulated_MAPK_Signaling,5.56E-01,5.88E-02,-1.342,"JUN,MAPK12,PAK1,PIK3CD,PRKCD"
Bupropion_Degradation,5.55E-01,8.00E-02,NaN,"CYP2S1,CYP3A4"
ERB2-ERBB3_Signaling,5.47E-01,6.15E-02,NaN,"JAK3,JUN,NRG1,PIK3CD"
Pyridoxal_5'-phosphate_Salvage_Pathway,5.47E-01,6.15E-02,NaN,"DMPK,PAK1,PIM1,PRKCD"
PPAR_Signaling,5.45E-01,5.61E-02,1.633,"IL1RAPL2,IL1RL2,IL36B,JUN,PDGFB,TAB1"
Cellular_Effects_of_Sildenafil_(Viagra),5.45E-01,5.33E-02,NaN,"ADCY9,CACNA2D4,CACNB2,ITPR1,KCNQ3,MYH3,PDE1B,PRKG1"
Aldosterone_Signaling_in_Epithelial_Cells,5.43E-01,5.23E-02,-1.342,"ASIC3,DNAJB1,DNAJC16,ITPR1,KCNMA1,LRRC55,PIK3CD,PRKCD,SLC9A1"
Endothelin-1_Signaling,5.42E-01,5.15E-02,-1.897,"ADCY9,GNA14,ITPR1,JUN,MAPK12,MAPK4,PIK3CD,PLA2G2A,PRKCD,PTGS1"
Telomerase_Signaling,5.34E-01,5.56E-02,-2.236,"ELK3,ETS2,HDAC10,IL2RB,PIK3CD,TERT"
Huntington's_Disease_Signaling,5.33E-01,4.93E-02,-1.667,"CAPN1,CAPN5,CREB3L1,DCTN1,DNAJB1,GNA14,GNB3,HDAC10,IFT57,ITPR1,JUN,PIK3CD,PRKCD,PSMD1"
Ubiquinol-10_Biosynthesis_(Eukaryotic),5.32E-01,7.69E-02,NaN,"CYP26B1,CYP4F11"
Role_of_OCT4_in_Mammalian_Embryonic_Stem_Cell_Pluripotency,5.25E-01,6.52E-02,NaN,"ETS2,MEF2A,SPP1"
α-Adrenergic_Signaling,5.24E-01,5.50E-02,NaN,"ADCY9,ADRA2A,GNA14,GNB3,ITPR1,PRKCD"
Synaptic_Long_Term_Depression,5.11E-01,5.05E-02,-3,"CACNA2D4,CACNB2,CATSPER3,GNA14,GRIA1,ITPR1,LYN,PLA2G2A,PRKCD,PRKG1"
Gap_Junction_Signaling,5.11E-01,5.05E-02,NaN,"ADCY9,BGLAP,CSNK1E,GRIA1,ITPR1,PIK3CD,PPP3R2,PRKCD,PRKG1,TUBB2A"
Synaptic_Long_Term_Potentiation,5.10E-01,5.30E-02,-2.449,"CREB3L1,GNA14,GRIA1,GRIN3A,ITPR1,PPP3R2,PRKCD"
NAD_Salvage_Pathway_II,5.09E-01,7.41E-02,NaN,"ENPP5,NT5C1B"
Apelin_Liver_Signaling_Pathway,5.09E-01,7.41E-02,NaN,"COL10A1,MAPK12"
Cell_Cycle:_G1/S_Checkpoint_Regulation,5.05E-01,5.88E-02,NaN,"CCND3,HDAC10,NRG1,TGFB2"
Sphingosine_and_Sphingosine-1-phosphate_Metabolism,4.99E-01,1.11E-01,NaN,NAAA
Leucine_Degradation_I,4.99E-01,1.11E-01,NaN,BCAT1
Apelin_Muscle_Signaling_Pathway,4.93E-01,6.25E-02,NaN,"GNA14,GNB3,SLC2A4"
eNOS_Signaling,4.92E-01,5.13E-02,-2.449,"ADCY9,AQP12A/AQP12B,BDKRB2,ITPR1,PIK3CD,PRKCD,PRKG1,PROK1"
Glutathione_Redox_Reactions_I,4.88E-01,7.14E-02,NaN,"GSTM2,MGST1"
CDP-diacylglycerol_Biosynthesis_I,4.88E-01,7.14E-02,NaN,"LPCAT1,LPCAT2"
Apelin_Adipocyte_Signaling_Pathway,4.86E-01,5.49E-02,0.447,"ADCY9,GSTM2,MAPK12,MAPK4,MGST1"
Stearate_Biosynthesis_I_(Animals),4.80E-01,5.71E-02,-1,"ACOT9,ACSL1,SLC27A4,SLC27A5"
Prostate_Cancer_Signaling,4.73E-01,5.26E-02,NaN,"BCL2,CREB3L1,HDAC10,NKX3-1,PIK3CD,SRD5A1"
Role_of_MAPK_Signaling_in_Promoting_the_Pathogenesis_of_Influenza,4.73E-01,5.26E-02,-0.816,"ATP6V1B2,BCL2,JUN,MAPK12,PLA2G2A,RPS6KA3"
RAC_Signaling,4.65E-01,5.11E-02,-2.236,"ITGA5,ITGA9,ITGB7,JUN,PAK1,PIK3CD,TIAM1"
Pyroptosis_Signaling_Pathway,4.64E-01,5.38E-02,0.447,"GSDMB,MAPK12,NLRP6,PTGER4,TLR2"
Actin_Nucleation_by_ARP-WASP_Complex,4.64E-01,5.38E-02,NaN,"ITGA5,ITGA9,ITGB7,NCK2,RHOBTB2"
Basal_Cell_Carcinoma_Signaling,4.56E-01,5.56E-02,-2,"FZD3,FZD7,WNT2,WNT2B"
Bladder_Cancer_Signaling,4.55E-01,5.17E-02,NaN,"FGF13,FGF17,FGF5,HDAC10,MMP23B,PROK1"
Non-Small_Cell_Lung_Cancer_Signaling,4.54E-01,5.32E-02,NaN,"CCND3,HDAC10,ITPR1,PIK3CD,RASSF5"
Phosphatidylglycerol_Biosynthesis_II_(Non-plastidic),4.49E-01,6.67E-02,NaN,"LPCAT1,LPCAT2"
TNFR1_Signaling,4.49E-01,5.88E-02,NaN,"BIRC3,JUN,PAK1"
UVC-Induced_MAPK_Signaling,4.49E-01,5.88E-02,NaN,"JUN,MAPK12,PRKCD"
HOTAIR_Regulatory_Pathway,4.37E-01,4.91E-02,-2.121,"ATG7,ICAM1,MMP23B,PIK3CD,SPP1,TWIST2,WNT2,WNT2B"
Chronic_Myeloid_Leukemia_Signaling,4.31E-01,4.68E-02,-3.051,"BCL2,CCND3,FZD3,FZD7,HDAC10,JUN,NFATC2,PIK3CD,PPP3R2,SPP1,TGFB2,WNT2,WNT2B"
Glycine_Betaine_Degradation,4.28E-01,9.09E-02,NaN,SDS
MicroRNA_Biogenesis_Signaling_Pathway,4.27E-01,4.81E-02,-1,"DNAJB1,EXOSC7,EXOSC8,HGF,MAPK12,PDGFB,PIK3CD,PIWIL2,TGFB2"
Sphingosine-1-phosphate_Signaling,4.19E-01,5.00E-02,-1,"ADCY9,NAAA,PDGFB,PIK3CD,RHOBTB2,S1PR3"
Xenobiotic_Metabolism_General_Signaling_Pathway,4.16E-01,4.90E-02,-1.134,"GSTM2,MAPK12,MGST1,PIK3CD,PRKCD,SLC9C1,UGT2A1"
Melanocyte_Development_and_Pigmentation_Signaling,4.15E-01,5.10E-02,-2,"ADCY9,BCL2,CREB3L1,PIK3CD,RPS6KA3"
TNFR2_Signaling,4.14E-01,6.25E-02,NaN,"BIRC3,JUN"
Mineralocorticoid_Biosynthesis,3.99E-01,8.33E-02,NaN,HSD3B2
Neurotrophin/TRK_Signaling,3.90E-01,5.13E-02,NaN,"CREB3L1,JUN,PIK3CD,SPRY1"
4-1BB_Signaling_in_T_Lymphocytes,3.82E-01,5.88E-02,NaN,"JUN,MAPK12"
Role_of_MAPK_Signaling_in_Inhibiting_the_Pathogenesis_of_Influenza,3.80E-01,5.06E-02,-1,"JUN,MAPK12,PLA2G2A,RPS6KA3"
AMPK_Signaling,3.74E-01,4.55E-02,-0.707,"ADRA1B,ADRA2A,CAB39,CREB3L1,GNA14,GNB3,IRS2,MAPK12,PIK3CD,SLC2A4,TBC1D1"
CNTF_Signaling,3.73E-01,5.26E-02,NaN,"JAK1,PIK3CD,RPS6KA3"
Glucocorticoid_Biosynthesis,3.73E-01,7.69E-02,NaN,HSD3B2
Semaphorin_Neuronal_Repulsive_Signaling_Pathway,3.65E-01,4.67E-02,0.816,"DPYSL2,ITGA5,ITGA9,ITGB7,PAK1,PIK3CD,PRKG1"
14-3-3-mediated_Signaling,3.64E-01,4.72E-02,-1.342,"JUN,MAPK12,PIK3CD,PRKCD,TUBB2A,YWHAH"
NAD_Signaling_Pathway,3.59E-01,4.64E-02,-2.646,"HGF,PDGFB,PIK3CD,SLC12A8,SLC29A1,TGFB2,TRPM2"
TR/RXR_Activation,3.56E-01,4.69E-02,-0.816,"ITGA5,PIK3CD,PROK1,SLC16A3,TRH,TSHB"
Estrogen-Dependent_Breast_Cancer_Signaling,3.52E-01,4.88E-02,NaN,"CREB3L1,JUN,PIK3CD,TERT"
Polyamine_Regulation_in_Colon_Cancer,3.51E-01,5.08E-02,NaN,"DHPS,JUN,SAT2"
Nicotine_Degradation_III,3.51E-01,5.08E-02,NaN,"CYP2S1,CYP3A4,UGT2A1"
Acyl-CoA_Hydrolysis,3.49E-01,7.14E-02,NaN,ACOT9
Leukotriene_Biosynthesis,3.49E-01,7.14E-02,NaN,ALOX5AP
Colanic_Acid_Building_Blocks_Biosynthesis,3.49E-01,7.14E-02,NaN,UGP2
ID1_Signaling_Pathway,3.40E-01,4.48E-02,-1.667,"ATF3,BCL2,FGFR4,LYN,MAPK12,PIK3CD,PROK1,PTGER4,TGFB2"
GADD45_Signaling,3.40E-01,5.00E-02,NaN,"CCND3,MAPK12,TGFB2"
TWEAK_Signaling,3.39E-01,5.41E-02,NaN,"BIRC3,TNFRSF12A"
Glutathione-mediated_Detoxification,3.39E-01,5.41E-02,NaN,"GSTM2,MGST1"
Ferroptosis_Signaling_Pathway,3.35E-01,4.58E-02,-2.449,"AIFM2,ANGPTL4,CTSB,EMP1,SLC38A1,SLC39A14"
PEDF_Signaling,3.34E-01,4.76E-02,0,"BCL2,MAPK12,PIK3CD,SERPINF1"
Semaphorin_Signaling_in_Neurons,3.30E-01,4.92E-02,NaN,"DPYSL2,PAK1,RHOBTB2"
Notch_Signaling,3.26E-01,5.26E-02,NaN,"HES5,MAML3"
Gα12/13_Signaling,3.21E-01,4.51E-02,-0.816,"CDH18,JUN,MAPK12,MEF2A,MEF2C,PIK3CD"
P2Y_Purigenic_Receptor_Signaling_Pathway,3.21E-01,4.51E-02,-1.342,"ADCY9,CREB3L1,GNB3,JUN,PIK3CD,PRKCD"
Role_of_Hypercytokinemia/hyperchemokinemia_in_the_Pathogenesis_of_Influenza,3.18E-01,4.65E-02,-1,"IFNLR1,IL12A,IL36B,JAK1"
HIPPO_signaling,3.18E-01,4.65E-02,NaN,"CSNK1E,LATS2,MST1,YWHAH"
Epithelial_Adherens_Junction_Signaling,3.14E-01,4.43E-02,-0.378,"HGF,LATS2,MST1,PAK1,TGFB2,TIAM1,YWHAH"
Melatonin_Degradation_I,3.11E-01,4.76E-02,NaN,"CYP2S1,CYP3A4,UGT2A1"
Regulation_of_the_Epithelial_Mesenchymal_Transition_in_Development_Pathway,3.09E-01,4.60E-02,-2,"FZD3,FZD7,WNT2,WNT2B"
Aryl_Hydrocarbon_Receptor_Signaling,3.08E-01,4.40E-02,NaN,"CCND3,CYP3A4,CYP3A43,GSTM2,JUN,MGST1,TGFB2"
Extrinsic_Prothrombin_Activation_Pathway,3.07E-01,6.25E-02,NaN,F3
Chondroitin_Sulfate_Degradation_(Metazoa),3.07E-01,6.25E-02,NaN,SPAM1
Glutaryl-CoA_Degradation,3.07E-01,6.25E-02,NaN,CYP2S1
Parkinson's_Signaling,3.07E-01,6.25E-02,NaN,MAPK12
PXR/RXR_Activation,2.92E-01,4.62E-02,NaN,"ABCC3,CYP3A4,GSTM2"
Induction_of_Apoptosis_by_HIV1,2.92E-01,4.62E-02,NaN,"BCL2,BIRC3,MAPK12"
Dermatan_Sulfate_Degradation_(Metazoa),2.89E-01,5.88E-02,NaN,SPAM1
Antioxidant_Action_of_Vitamin_C,2.88E-01,4.39E-02,NaN,"GLRX,MAPK12,PLA2G2A,SLC2A3,SLC2A4"
Unfolded_protein_response,2.87E-01,4.44E-02,NaN,"BCL2,DNAJA4,DNAJB1,DNAJC16"
Regulation_of_Actin-based_Motility_by_Rho,2.82E-01,4.35E-02,NaN,"ITGA5,ITGA9,ITGB7,PAK1,RHOBTB2"
CDK5_Signaling,2.82E-01,4.35E-02,-1,"ADCY9,CAPN1,LAMA2,MAPK12,MAPK4"
Phagosome_Maturation,2.80E-01,4.27E-02,NaN,"ATP6V1B2,CTSB,DYNLT3,HLA-DRA,HLA-DRB5,MR1,TUBB2A"
Intrinsic_Prothrombin_Activation_Pathway,2.80E-01,4.76E-02,NaN,"COL10A1,KLK14"
Acetone_Degradation_I_(to_Methylglyoxal),2.80E-01,4.76E-02,NaN,"CYP2S1,CYP3A4"
Ceramide_Signaling,2.79E-01,4.40E-02,0,"BCL2,JUN,PIK3CD,S1PR3"
Acute_Myeloid_Leukemia_Signaling,2.79E-01,4.40E-02,NaN,"FLT3,PIK3CD,PIM1,RUNX1"
BMP_signaling_pathway,2.79E-01,4.40E-02,NaN,"GREM1,JUN,MAPK12,TAB1"
Nicotine_Degradation_II,2.75E-01,4.48E-02,NaN,"CYP2S1,CYP3A4,UGT2A1"
Mismatch_Repair_in_Eukaryotes,2.72E-01,5.56E-02,NaN,LIG1
Differential_Regulation_of_Cytokine_Production_in_Macrophages_and_T_Helper_Cells_by_IL-17A_and_IL-17F,2.72E-01,5.56E-02,NaN,IL12A
Neuregulin_Signaling,2.69E-01,4.27E-02,NaN,"ITGA5,ITGA9,ITGB7,NRG1,PRKCD"
Retinoate_Biosynthesis_I,2.69E-01,4.65E-02,NaN,"NT5C1B,RDH16"
ERBB4_Signaling,2.67E-01,4.41E-02,NaN,"NRG1,PIK3CD,PRKCD"
Superpathway_of_Melatonin_Degradation,2.67E-01,4.41E-02,NaN,"CYP2S1,CYP3A4,UGT2A1"
Remodeling_of_Epithelial_Adherens_Junctions,2.67E-01,4.41E-02,NaN,"ACTN1,HGF,TUBB2A"
SPINK1_General_Cancer_Pathway,2.59E-01,4.35E-02,NaN,"JAK1,JAK3,PIK3CD"
BER_(Base_Excision_Repair)_Pathway,2.59E-01,4.55E-02,NaN,"ARL6IP5,LIG1"
NGF_Signaling,2.51E-01,4.17E-02,-1,"CREB3L1,MAPK12,PIK3CD,PRKCD,RPS6KA3"
Coronavirus_Replication_Pathway,2.50E-01,4.44E-02,NaN,"BAG3,TUBB2A"
Small_Cell_Lung_Cancer_Signaling,2.45E-01,4.17E-02,NaN,"BCL2,CCND3,HDAC10,PIK3CD"
Inflammasome_pathway,2.43E-01,5.00E-02,NaN,CTSB
Estrogen_Biosynthesis,2.41E-01,4.35E-02,NaN,"CYP2S1,CYP3A4"
Apelin_Pancreas_Signaling_Pathway,2.41E-01,4.35E-02,NaN,"MAPK12,PIK3CD"
Melatonin_Signaling,2.37E-01,4.17E-02,NaN,"MTNR1B,PRKCD,SLC2A4"
Retinol_Biosynthesis,2.23E-01,4.17E-02,NaN,"BCO1,LIPC"
Putrescine_Degradation_III,2.17E-01,4.55E-02,NaN,SAT2
Differential_Regulation_of_Cytokine_Production_in_Intestinal_Epithelial_Cells_by_IL-17A_and_IL-17F,2.05E-01,4.35E-02,NaN,IL12A
Pyrimidine_Deoxyribonucleotides_De_Novo_Biosynthesis_I,2.05E-01,4.35E-02,NaN,DUT
Methionine_Degradation_I_(to_Homocysteine),2.05E-01,4.35E-02,NaN,MAT2B
Tumoricidal_Function_of_Hepatic_Natural_Killer_Cells,1.95E-01,4.17E-02,NaN,ICAM1
CSDE1_Signaling_Pathway,0.00E+00,3.57E-02,NaN,"CCND3,PIWIL2"
SNARE_Signaling_Pathway,0.00E+00,2.21E-02,NaN,"ADCY9,CACNB2,MYH3"
Ribonucleotide_Reductase_Signaling_Pathway,0.00E+00,3.53E-02,-1.633,"BCL2,CREB3L1,HGF,JUN,MAPK12,PIK3CD"
Neutrophil_Extracellular_Trap_Signaling_Pathway,0.00E+00,3.51E-02,-1.604,"COL10A1,COL12A1,COL7A1,FPR1,ITPR1,LYN,MAPK12,NDUFV1,PIK3CD,PLA2G2A,PPP3R2,PRKCD,TLR2,TOMM40L"
Chaperone_Mediated_Autophagy_Signaling_Pathway,0.00E+00,2.36E-02,-0.258,"ATP6V1B2,BAG1,DNAJB1,FLT3,HDAC10,HK2,IL17RA,MAPK12,MEF2A,MMP23B,MST1,NFATC2,PIK3CD,PPP3R2,SNX10"
IL-33_Signaling_Pathway,0.00E+00,3.24E-02,-1.633,"CREB3L1,ICAM1,IL36B,JUN,MAPK12,PIK3CD"
ISGylation_Signaling_Pathway,0.00E+00,3.70E-02,-2,"IFNLR1,JAK1,MAPK12,TLR2"
Microautophagy_Signaling_Pathway,0.00E+00,3.75E-02,NaN,"COL10A1,COL12A1,COL7A1,PSMD1,SEC24D,SEC31B"
NFKBIE_Signaling_Pathway,0.00E+00,4.45E-03,NaN,"DYSF,TNFSF13"
PPARα/RXRα_Activation,0.00E+00,3.61E-02,0.816,"ADCY9,GNA14,IL1RAPL2,IL1RL2,JUN,MEF2C,TGFB2"
Tight_Junction_Signaling,0.00E+00,3.33E-02,NaN,"CLDN15,JUN,MYH3,SYMPK,TGFB2,TIAM1"
Role_of_BRCA1_in_DNA_Damage_Response,0.00E+00,1.25E-02,NaN,FANCG
Activation_of_IRF_by_Cytosolic_Pattern_Recognition_Receptors,0.00E+00,3.08E-02,NaN,"JUN,MAPK12"
Role_of_NFAT_in_Regulation_of_the_Immune_Response,0.00E+00,1.83E-02,-3,"CSNK1E,GNA14,GNB3,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ITK,ITPR1,JUN,LCP2,LYN,MEF2A,MEF2C,NFATC2,PIK3CD,PPP3R2,RCAN3"
FcγRIIB_Signaling_in_B_Lymphocytes,0.00E+00,1.31E-02,NaN,"CACNA2D4,CACNB2,CATSPER3,ITPR1,LYN,MAPK12,PIK3CD"
NF-κB_Activation_by_Viruses,0.00E+00,2.56E-02,NaN,"PIK3CD,PRKCD"
CCR5_Signaling_in_Macrophages,0.00E+00,1.80E-02,NaN,"CACNA2D4,CACNB2,CATSPER3,GNA14,GNB3,ITPR1,JUN,MAPK12,PRKCD"
Calcium-induced_T_Lymphocyte_Apoptosis,0.00E+00,1.96E-02,-2.828,"HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ITPR1,NFATC2,PPP3R2,PRKCD"
Cytotoxic_T_Lymphocyte-mediated_Apoptosis_of_Target_Cells,0.00E+00,4.71E-03,NaN,"BCL2,MR1"
CD27_Signaling_in_Lymphocytes,0.00E+00,3.51E-02,NaN,"JUN,MAPK12"
Lymphotoxin_β_Receptor_Signaling,0.00E+00,1.82E-02,NaN,PIK3CD
CTLA4_Signaling_in_Cytotoxic_T_Lymphocytes,0.00E+00,2.47E-02,2.673,"CD8A,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ITK,JUN,LCP2,LYN,MAPK12,MR1,NFATC2,PIK3CD,TGFB2"
T_Helper_Cell_Differentiation,0.00E+00,2.76E-02,NaN,"HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ICOS,IFNGR1,IFNGR2,IL12A,IL12RB1,IL12RB2,IL21R,STAT6"
CD28_Signaling_in_T_Helper_Cells,0.00E+00,2.90E-02,-2.53,"HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ITK,ITPR1,JUN,LCP2,MAPK12,NFATC2,PAK1,PIK3CD,PPP3R2,PTPRC"
