Ingenuity_Canonical_Pathways,_-log(p-value),Ratio,z-score,Molecules
Protein_Ubiquitination_Pathway,0.00E+00,3.66E-02,NaN,"ANAPC2,ANAPC4,BRCA1,HSPB3,HSPB6,PAN2,PSMA2,UBE2G2,USP21,USP40"
Amyloid_Processing,0.00E+00,1.96E-02,NaN,NCSTN
JAK/STAT_Signaling,0.00E+00,1.22E-02,NaN,TYK2
GABA_Receptor_Signaling,0.00E+00,2.27E-02,NaN,"CACNA1H,GABRB2,GABRD"
Xenobiotic_Metabolism_Signaling,0.00E+00,1.70E-02,NaN,"CAMK1G,FMO3,GSTM2,HS3ST2,MAPK7"
IL-4_Signaling,0.00E+00,8.67E-03,0.447,"COL17A1,CREB3L4,FCER2,IL4,TGM2"
B_Cell_Receptor_Signaling,0.00E+00,7.87E-03,-0.447,"ABL1,BCL6,CREB3L4,INPP5B,INPPL1"
Serotonin_Receptor_Signaling,0.00E+00,2.56E-02,-0.577,"ADRB3,CACNA1H,CREB3L4,HTR2C,HTR3C,ORAI3,PLCG1,RBL1,RHOT2,TEAD1,TGM2,TPH2"
Insulin_Receptor_Signaling,0.00E+00,3.57E-02,0.447,"EIF2B1,EIF2B4,INPP5B,INPPL1,IRS4"
Phototransduction_Pathway,0.00E+00,3.70E-02,NaN,"GUCA1C,OPN4"
Chemokine_Signaling,0.00E+00,3.70E-02,NaN,"CAMK1G,NOX1,PLCG1"
Neurotrophin/TRK_Signaling,0.00E+00,2.56E-02,NaN,"CREB3L4,PLCG1"
Integrin_Signaling,0.00E+00,2.36E-02,-1.342,"ABL1,ILKAP,PFN4,PLCG1,RHOT2"
Death_Receptor_Signaling,0.00E+00,2.08E-02,NaN,"CASP9,HSPB3"
PPAR_Signaling,0.00E+00,9.35E-03,NaN,IL1RL2
IGF-1_Signaling,0.00E+00,1.90E-02,NaN,"CASP9,YWHAH"
Dopamine_Receptor_Signaling,0.00E+00,1.25E-02,NaN,PRL
Glutamate_Receptor_Signaling,0.00E+00,3.03E-02,NaN,"GRM7,SLC17A7"
Apoptosis_Signaling,0.00E+00,1.92E-02,NaN,"CASP9,PLCG1"
NF-κB_Signaling,0.00E+00,1.75E-03,NaN,FGFR4
VEGF_Signaling,0.00E+00,3.03E-02,NaN,"EIF2B1,EIF2B4,PLCG1"
Hypoxia_Signaling_in_the_Cardiovascular_System,0.00E+00,2.63E-02,NaN,"CREB3L4,UBE2G2"
T_Cell_Receptor_Signaling,0.00E+00,8.12E-03,-1.342,"CD8A,HNF1A,IL4,PLCG1,TCF7L1"
G-Protein_Coupled_Receptor_Signaling,0.00E+00,4.13E-02,2.785,"ADRB3,AVPR1A,CHRM2,CREB3L4,FFAR4,FZD1,FZD9,GPR150,GPR153,GPR21,GPR22,GPR68,GPR83,GRM7,HRH2,HTR1F,HTR2C,KISS1R,MAPK7,MYL3,P2RY4,PDE2A,PLCG1,PTH1R,RXFP1,SSTR2,SSTR3,TAS1R2,VIPR1"
IL-6_Signaling,0.00E+00,2.33E-02,NaN,"HSPB3,IL1RL2,MAPKAPK2"
GPCR-Mediated_Nutrient_Sensing_in_Enteroendocrine_Cells,0.00E+00,2.54E-02,NaN,"CACNA1H,FFAR4,PLCG1"
Phagosome_Maturation,0.00E+00,1.83E-02,NaN,"CTSG,NOX1,STX16"
Autophagy,0.00E+00,4.61E-03,NaN,CREB3L4
Macropinocytosis_Signaling,0.00E+00,1.32E-02,NaN,PLCG1
"PD-1,_PD-L1_cancer_immunotherapy_pathway",0.00E+00,2.80E-02,NaN,"IL4,PLCG1,TYK2"
Th1_and_Th2_Activation_Pathway,0.00E+00,3.49E-02,NaN,"CD8A,CHD4,IL12RB2,IL4,NCSTN,TYK2"
Th1_Pathway,0.00E+00,4.10E-02,0,"CD8A,IL12RB2,IL4,NCSTN,TYK2"
Th2_Pathway,0.00E+00,3.65E-02,-2.236,"CHD4,IL12RB2,IL4,NCSTN,TYK2"
GP6_Signaling_Pathway,0.00E+00,2.36E-02,NaN,"COL17A1,NOX1,PLCG1"
IL-7_Signaling_Pathway,0.00E+00,1.28E-02,NaN,BCL6
Sirtuin_Signaling_Pathway,0.00E+00,3.08E-02,0.816,"ARG2,CRTC2,KAT2A,MAPK7,NDUFA13,NDUFV2,PAM16,SF3A2,SIRT7"
Opioid_Signaling_Pathway,0.00E+00,3.21E-02,-0.378,"CACNA1H,CAMK1G,CREB3L4,HNF1A,MAPK7,PDYN,PNOC,RGS5,TCF7L1"
Adrenomedullin_signaling_pathway,0.00E+00,1.51E-02,NaN,"MAPK7,PLCG1,TFAP2C"
Iron_homeostasis_signaling_pathway,0.00E+00,1.46E-02,NaN,"HPX,TYK2"
Th17_Activation_Pathway,0.00E+00,4.13E-03,NaN,"IL12RB2,TYK2"
SPINK1_Pancreatic_Cancer_Pathway,0.00E+00,3.33E-02,NaN,"CLPS,PRSS1"
SPINK1_General_Cancer_Pathway,0.00E+00,2.90E-02,NaN,"PRSS1,TYK2"
Endocannabinoid_Neuronal_Synapse_Pathway,0.00E+00,2.68E-02,NaN,"CACNA1H,DNALI1,MAPK7,PLCG1"
Endocannabinoid_Developing_Neuron_Pathway,0.00E+00,2.36E-02,NaN,"BRCA1,CREB3L4,MAPK7"
Endocannabinoid_Cancer_Inhibition_Pathway,0.00E+00,3.40E-02,0.447,"CASP9,CREB3L4,HNF1A,SMPD4,TCF7L1"
Apelin_Adipocyte_Signaling_Pathway,0.00E+00,3.30E-02,NaN,"GSTM2,MAPK7,NOX1"
Apelin_Cardiomyocyte_Signaling_Pathway,0.00E+00,3.03E-02,NaN,"MAPK7,MYL3,PLCG1"
Apelin_Endothelial_Signaling_Pathway,0.00E+00,7.09E-03,NaN,AQP2
Apelin_Muscle_Signaling_Pathway,0.00E+00,2.08E-02,NaN,NRF1
BAG2_Signaling_Pathway,0.00E+00,2.35E-02,NaN,"MAPKAPK2,PSMA2"
Cardiac_Hypertrophy_Signaling_(Enhanced),0.00E+00,3.87E-02,0.447,"DVL2,EIF2B1,EIF2B4,FGF9,FGFR4,FZD1,FZD9,HDAC6,HSPB3,IL12RB2,IL1RL2,IL4,MAPK7,MAPKAPK2,NPPA,PDE2A,PLCG1,TNFSF9,WNT1,WNT10B,WNT7B"
FAT10_Signaling_Pathway,0.00E+00,1.75E-02,NaN,PSMA2
PFKFB4_Signaling_Pathway,0.00E+00,2.08E-02,NaN,CREB3L4
T_Cell_Exhaustion_Signaling_Pathway,0.00E+00,8.82E-03,1.342,"BCL6,IFNA8,IL12RB2,PLCG1,TYK2"
Synaptogenesis_Signaling_Pathway,0.00E+00,2.86E-02,0,"CDH13,CREB3L4,GRM7,PLCG1,SGTA,STX16,STXBP3,SYN3,THBS3"
Systemic_Lupus_Erythematosus_in_T_Cell_Signaling_Pathway,0.00E+00,7.78E-03,-0.447,"BCL6,CASP9,CREB3L4,PLCG1,RHOT2"
Systemic_Lupus_Erythematosus_in_B_Cell_Signaling_Pathway,0.00E+00,1.10E-02,0,"IFNA8,IL4,INPP5B,INPPL1,IRF3,MAVS,TNFSF9,TYK2"
Senescence_Pathway,0.00E+00,3.34E-02,-0.707,"ANAPC2,ANAPC4,ASXL1,CDK4,DMTF1,IFNA8,IRF3,MAPK7,MAPKAPK2,RBL1"
Hepatic_Fibrosis_Signaling_Pathway,0.00E+00,3.55E-02,-0.277,"CREB3L4,DVL2,FZD1,FZD9,GLI3,HNF1A,IL1RL2,MYL3,NOX1,PLCG1,RHOT2,TCF7L1,WNT1,WNT10B,WNT7B"
BEX2_Signaling_Pathway,0.00E+00,2.44E-02,NaN,"HNF1A,TCF7L1"
Necroptosis_Signaling_Pathway,0.00E+00,3.23E-02,-1.342,"IFNA8,IRF3,PAM16,RBCK1,RBL1"
Xenobiotic_Metabolism_General_Signaling_Pathway,0.00E+00,1.40E-02,NaN,"GSTM2,MAPK7"
Xenobiotic_Metabolism_AHR_Signaling_Pathway,0.00E+00,1.15E-02,NaN,GSTM2
Xenobiotic_Metabolism_CAR_Signaling_Pathway,0.00E+00,1.55E-02,NaN,"FMO3,GSTM2,HS3ST2"
Xenobiotic_Metabolism_PXR_Signaling_Pathway,0.00E+00,1.03E-02,NaN,"GSTM2,HS3ST2"
Semaphorin_Neuronal_Repulsive_Signaling_Pathway,0.00E+00,2.00E-02,NaN,"MYL3,PLCG1,PLXNA3"
Regulation_of_the_Epithelial_Mesenchymal_Transition_by_Growth_Factors_Pathway,0.00E+00,2.08E-02,NaN,"FGF9,FGFR4,TNFSF9,TYK2"
Kinetochore_Metaphase_Signaling_Pathway,0.00E+00,3.64E-02,NaN,"ANAPC2,ANAPC4,DNALI1,KNTC1"
Coronavirus_Replication_Pathway,0.00E+00,2.22E-02,NaN,IFITM5
Tumor_Microenvironment_Pathway,0.00E+00,2.23E-02,0,"FGF9,IL4,MMP17,SLC2A2"
MSP-RON_Signaling_in_Cancer_Cells_Pathway,0.00E+00,3.57E-02,-1.342,"CREB3L4,HNF1A,MST1,TCF7L1,YWHAH"
MSP-RON_Signaling_in_Macrophages_Pathway,0.00E+00,1.68E-02,NaN,"CREB3L4,MST1"
Calcium_Signaling,0.00E+00,3.64E-02,NaN,"CACNA1H,CAMK1G,CREB3L4,HDAC6,MYH1,MYH13,MYH3,MYL3"
Ephrin_Receptor_Signaling,0.00E+00,1.49E-02,NaN,"ABL1,CREB3L4,SH2D3C"
Ferroptosis_Signaling_Pathway,0.00E+00,2.29E-02,NaN,"NOX1,RBL1,TFAP2C"
